,0
2020-05-16 10:45:54.855681,10000.0
2020-05-17 10:45:54.855681,10000.0
2020-05-18 10:45:54.855681,10000.0
2020-05-19 10:45:54.855681,10000.0
2020-05-20 10:45:54.855681,10000.0
2020-05-21 10:45:54.855681,10000.0
2020-05-22 10:45:54.855681,10000.0
2020-05-23 10:45:54.855681,10000.0
2020-05-24 10:45:54.855681,10000.0
2020-05-25 10:45:54.855681,10000.0
2020-05-26 10:45:54.855681,10000.0
2020-05-27 10:45:54.855681,10000.0
2020-05-28 10:45:54.855681,10000.0
2020-05-29 10:45:54.855681,10000.0
2020-05-30 10:45:54.855681,10000.0
2020-05-31 10:45:54.855681,10000.0
2020-06-01 10:45:54.855681,10000.0
2020-06-02 10:45:54.855681,10000.0
2020-06-03 10:45:54.855681,10000.0
2020-06-04 10:45:54.855681,10000.0
2020-06-05 10:45:54.855681,10000.0
2020-06-06 10:45:54.855681,10000.0
2020-06-07 10:45:54.855681,10000.0
2020-06-08 10:45:54.855681,10000.0
2020-06-09 10:45:54.855681,10000.0
2020-06-10 10:45:54.855681,10000.0
2020-06-11 10:45:54.855681,10000.0
2020-06-12 10:45:54.855681,10000.0
2020-06-13 10:45:54.855681,10000.0
2020-06-14 10:45:54.855681,10000.0
2020-06-15 10:45:54.855681,10000.0
2020-06-16 10:45:54.855681,10000.0
2020-06-17 10:45:54.855681,10000.0
2020-06-18 10:45:54.855681,10000.0
2020-06-19 10:45:54.855681,10000.0
2020-06-20 10:45:54.855681,10000.0
2020-06-21 10:45:54.855681,10000.0
2020-06-22 10:45:54.855681,10000.0
2020-06-23 10:45:54.855681,10000.0
2020-06-24 10:45:54.855681,10000.0
2020-06-25 10:45:54.855681,10000.0
2020-06-26 10:45:54.855681,10000.0
2020-06-27 10:45:54.855681,10000.0
2020-06-28 10:45:54.855681,10000.0
2020-06-29 10:45:54.855681,10000.0
2020-06-30 10:45:54.855681,10000.0
2020-07-01 10:45:54.855681,10000.0
2020-07-02 10:45:54.855681,10000.0
